user_id,enabled,schedule_days,schedule_time,timezone,min_contacts_required,active_product_id,last_nudge_sent,created_at,updated_at,active_sender_profile_id,active_customer_profile_id,active_campaign_id,vacation_mode,vacation_start_date,vacation_end_date
74,t,"{mon,tue,wed}",09:00,America/New_York,5,40,2026-02-18 14:35:05.338+00,2025-12-16 21:12:57.646659+00,2025-12-16 21:15:14.909+00,,18,,t,2025-12-31 00:00:00+00,2026-01-31 00:00:00+00
22,t,"{monday,tuesday,wednesday}",09:00,America/New_York,5,30,2026-02-18 14:35:05.347+00,2025-09-15 03:36:51.456744+00,2025-09-15 03:43:31.03+00,13,15,,f,,
1,t,"{monday,tuesday,wednesday}",09:00,America/New_York,5,31,2026-02-18 14:35:09.951+00,2025-09-11 17:01:43.941477+00,2025-10-29 04:14:28.232+00,11,14,,f,,
50,t,"{mon,tue,wed}",09:00,America/New_York,5,39,2026-02-18 14:35:10.947+00,2025-12-05 22:07:18.454805+00,2025-12-05 22:09:08.08+00,,17,,f,,
5,t,"{mon,tue,wed,wednesday,thursday,friday}",09:00,America/New_York,5,,2026-02-20 15:11:19.764+00,2025-09-10 01:46:54.407586+00,2025-12-05 21:14:37.7+00,,,,t,,
